name,R2,R2_std,MAE,MAE_std,RMSE,RMSE_std,within_5_years,within_10_years,within_20_years,R2_seed_0,skew,kurtosis
400-Eure-et-Loir_,0.16994446770332272,0.0,20.201565292022572,0.0,26.73430864420333,0.0,0.19587354721644323,0.3623394703499194,0.6004317289493031,0.16994446770332272,-0.3921670984306189,0.8876153162366704
250-Landes_,0.17065359682964787,0.0,20.727261134486284,0.0,26.93788056202069,0.0,0.15613891669958024,0.31084494493483117,0.594667083061605,0.17065359682964787,-0.6631183555057265,0.5988313319032463
400-Ain_,0.17097112215863008,0.0,19.84584682128448,0.0,26.385675629148693,0.0,0.17112419784003757,0.34409727656910316,0.6348704805133825,0.17097112215863008,-0.60603211997509,1.174336828555889
400-Calvados_,0.17160197384501918,0.0,23.51054825618086,0.0,29.180855576833668,0.0,0.13581856293190925,0.2643043900126656,0.490848893793839,0.17160197384501918,-0.4960249217001806,0.408039477822534
150-Alpes-Maritimes_,0.17227473517679215,0.0,22.744690738468133,0.0,28.558592446207275,0.0,0.14169653524492234,0.2796633941093969,0.5194743130227001,0.17227473517679215,-0.322400799634047,-0.028722714526840054
400-Alpes-Maritimes_,0.17275883608492382,0.0,22.81265497368643,0.0,28.550239878535187,0.0,0.14189392758817723,0.27709729364708324,0.5144667809464443,0.17275883608492382,-0.2951889099145319,-0.07933990662631851
50-Rhône_,0.1729492023825021,0.0,19.152301592915894,0.0,25.517404335578266,0.0,0.19131221874012655,0.37182235049997014,0.6404314003432758,0.1729492023825021,-0.275454316521532,1.077210773870375
300-Moselle_,0.17414883101606238,0.0,21.25355615095565,0.0,27.043663809321853,0.0,0.16097269028805938,0.3110086709938512,0.5630944831959417,0.17414883101606238,-0.13602976563692498,0.08636724483636504
300-Rhône_,0.1746381384779171,0.0,19.298592269232813,0.0,25.491336232931033,0.0,0.19229422664742502,0.36742466291511183,0.628083718308897,0.1746381384779171,-0.5019831733656144,1.0435755902785502
200-Vaucluse_,0.1754607166784815,0.0,19.993999273228408,0.0,26.325111528804765,0.0,0.1709692712149291,0.33649743567642115,0.6221070551221825,0.1754607166784815,-0.44234169068591966,0.8725797810364719
350-Rhône_,0.17661527694511125,0.0,19.38692395450348,0.0,25.460785923423398,0.0,0.1856678080729589,0.3571861630816262,0.6243777058587445,0.17661527694511125,-0.519355167015154,0.8674908427278964
50-Dordogne_,0.17803453501670563,0.0,21.433078713702166,0.0,27.900271377629473,0.0,0.16450297230293498,0.32035116715094325,0.574885150925457,0.17803453501670563,-0.5083480793427448,0.7345707448907541
200-Moselle_,0.1781743546672535,0.0,21.269654983251215,0.0,26.977672563387284,0.0,0.16221954642936026,0.3110229207783233,0.5555278476413045,0.1781743546672535,-0.09985598766681363,0.0650477984529707
300-Ain_,0.1786992557789946,0.0,19.609337318744025,0.0,26.262405214343723,0.0,0.17750234778525592,0.3549655658162467,0.6416301455626859,0.1786992557789946,-0.6510684625958,1.401572219092876
150-Landes_,0.1796041730468365,0.0,20.57293729483137,0.0,26.79212504924391,0.0,0.16644469142379514,0.32289590432713944,0.5882925664318321,0.1796041730468365,-0.7576136116070238,0.7296807048016527
450-Vendée_,0.18082552771698768,0.0,21.512439015326592,0.0,27.363082833689845,0.0,0.15152977216159294,0.2970285276660923,0.5515450890292934,0.18082552771698768,-0.7571777173221201,1.2507166932422242
300-Haute-Garonne_,0.18086155630780587,0.0,18.617746043478693,0.0,24.07927996924911,0.0,0.17875196135389457,0.34948467284845763,0.631055036848293,0.18086155630780587,-0.3657942480398038,1.2933097822194144
400-Charente-Maritime_,0.18101135490969278,0.0,23.158225159617817,0.0,29.52296446004426,0.0,0.14329454102214353,0.2804292306352846,0.5291450213309342,0.18101135490969278,-0.5409085863073584,0.5364568677960011
350-Ain_,0.18213871335129672,0.0,19.595717766415927,0.0,26.20735644116311,0.0,0.18082837689779307,0.35787095007043357,0.639272577868211,0.18213871335129672,-0.7622731001049541,1.3359786612787499
