Country,Region,BuildingType,Age
Sweden,National,SFH,1961-1975
Sweden,National,SFH,1976-1985
Sweden,National,SFH,1986-1995
Sweden,National,SFH,1996-2005
Sweden,National,MFH,<1960
Sweden,National,MFH,1961-1975
Sweden,National,MFH,1976-1985
Sweden,National,MFH,1986-1995
Sweden,National,MFH,1996-2005
Slovenia,National,SFH,<1945
Slovenia,National,SFH,1946-1970
Slovenia,National,SFH,1971-1980
Slovenia,National,SFH,1981-2001
Slovenia,National,SFH,2002-2008
Slovenia,National,SFH,2009+
Slovenia,National,TH,<1945
Slovenia,National,TH,1946-1970
Slovenia,National,TH,1971-1980
Slovenia,National,TH,1981-2001
Slovenia,National,TH,2002-2008
Slovenia,National,TH,2009+
Slovenia,National,MFH,<1945
Slovenia,National,MFH,1946-1970
Slovenia,National,MFH,1971-1980
Slovenia,National,MFH,1981-2001
Slovenia,National,MFH,2002-2008
Slovenia,National,MFH,2009+
Slovenia,National,AB,<1945
Slovenia,National,AB,1946-1970
Slovenia,National,AB,1971-1980
Slovenia,National,AB,1981-2001
Slovenia,National,AB,2002-2008
Slovenia,National,AB,2009+
