NUTS 3 CODE;LAU CODE;LAU NAME NATIONAL;LAU NAME LATIN;CHANGE (Y/N);POPULATION;TOTAL AREA (m2);DEGURBA;DEG change compared to last year;COASTAL AREA (yes/no);COAST change compared to last year;CITY_ID;CITY_ID change compared to last year;CITY_NAME;GREATER_CITY_ID;GREATER_CITY_ID change compared to last year;GREATER_CITY_NAME;FUA_ID;FUA_ID change compared to last year;FUA_NAME
NL221;GM0230;Elburg;;no;23086;63816566;2;no;no;no;;;;;;;;;
NL221;GM0232;Epe;;no;33145;156072972;2;no;no;no;;;;;;;NL014L3;no;Apeldoorn
NL221;GM0233;Ermelo;;no;26858;85633796;2;no;no;no;;;;;;;;;
NL221;GM0243;Harderwijk;;no;47581;38888256;2;no;no;no;;;;;;;;;
NL221;GM0244;Hattem;;no;12173;23075701;2;no;no;no;;;;;;;NL511L3;no;Zwolle
NL221;GM0246;Heerde;;no;18546;78744420;2;no;no;no;;;;;;;NL511L3;no;Zwolle
NL226;GM0252;Heumen;;no;16486;39758325;2;no;no;no;;;;;;;NL013L3;no;Nijmegen
NL225;GM0262;Lochem;;no;33590;213033319;3;no;no;no;;;;;;;;;
NL224;GM0263;Maasdriel;;no;24693;66109073;3;no;no;no;;;;;;;NL503L3;no;'s-Hertogenbosch
NL221;GM0267;Nijkerk;;no;42943;69338083;2;no;no;no;;;;;;;;;
NL226;GM0268;Nijmegen;;no;176731;53092155;1;no;no;no;NL013C1;no;Nijmegen;;;;NL013L3;no;Nijmegen
NL221;GM0269;Oldebroek;;no;23598;97654858;2;no;no;no;;;;;;;NL511L3;no;Zwolle
NL221;GM0273;Putten;;no;24198;85220940;2;no;no;no;;;;;;;;;
NL226;GM0274;Renkum;;no;31302;45952327;2;no;no;no;;;;;;;NL009L3;no;Arnhem
NL226;GM0275;Rheden;;no;43640;81743355;2;no;no;no;;;;;;;NL009L3;no;Arnhem
NL226;GM0277;Rozendaal;;no;1654;27895860;2;no;no;no;;;;;;;NL009L3;no;Arnhem
NL221;GM0279;Scherpenzeel;;no;9873;13785649;2;no;no;no;;;;;;;;;
NL224;GM0281;Tiel;;no;41978;32879418;2;no;no;no;;;;;;;;;
NL221;GM0285;Voorst;;no;24417;122968689;2;no;no;no;;;;;;;NL014L3;no;Apeldoorn
NL221;GM0289;Wageningen;;no;38774;30421943;1;no;no;no;NL512C2;no;Greater Ede;;;;NL512L3;no;Ede
